"filename", "language", "Markdown", "JSON", "JavaScript", "PHP", "PowerShell", "vue", "comment", "blank", "total"
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\README.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 46, 123
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\extensions\directus-extension-my-bundle\dist\api.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\extensions\directus-extension-my-bundle\dist\app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\extensions\directus-extension-my-bundle\package.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 1, 56
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\index.cjs", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\nodemon.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\php-bo\cron\my-job.php", "PHP", 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\php-bo\inc.php", "PHP", 0, 0, 0, 24, 0, 0, 4, 4, 32
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\php-bo\index.php", "PHP", 0, 0, 0, 3, 0, 0, 1, 0, 4
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\php-bo\lib\helper.php", "PHP", 0, 0, 0, 72, 0, 0, 8, 7, 87
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\php-bo\lib\rb-mysql.php", "PHP", 0, 0, 0, 6237, 0, 0, 9859, 1385, 17481
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\script-quickstart.ps1", "PowerShell", 0, 0, 0, 0, 35, 0, 21, 21, 77
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\package.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 1, 56
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\Data\collection.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\Data\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\Data\module.vue", "vue", 0, 0, 0, 0, 0, 73, 0, 5, 78
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\grid-layout\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\grid-layout\layout.vue", "vue", 0, 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\my-api\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 6, 10, 29
"c:\Users\ks_ch\Documents\directus-project-with-extensions-quickstart\src-extensions\my-bundle\src\my-hooks\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"Total", "-", 77, 131, 57, 6339, 35, 94, 9900, 1495, 18128